split	source	reference	greedy	beam
uqa_valid	نارمن اپنی جنگی روح اور بالآخر اپنی عیسائی عقیدت کے لئے مشہور تھے ، جو <ans> کیتھولک </ans> آرتھوڈوکس کے نمائندے بن گئے جس میں انہوں نے ہم آہنگ کیا۔	نارمنز کا مذہب کیا تھا؟	نارمن کے والد کے لئے مشہور مذہب کیا تھا؟	نارمن کس مذہب کے لئے جانا جاتا تھا؟
uqa_valid	نارمن اپنی جنگی روح اور بالآخر اپنی عیسائی عقیدت کے لئے مشہور تھے ، جس میں وہ <ans> کیتھولک آرتھوڈوکس </ans> کے نمائندے بن گئے جس میں انہوں نے ہم آہنگ کیا۔	نارمنز کا مذہب کیا تھا؟	نارمن نے اپنی مشہور عیسائی مشہور شخصیات کے طور پر کس کے ساتھ مل کر کام کیا؟	نارمن نے اپنی مشہور جنگی کے طور پر کس کے ساتھ مل کر کام کیا؟
uqa_valid	نورمنڈی کا ڈچی ، جو <ans> 911 </ans> میں ایک فیوڈم کے طور پر شروع ہوا ، مغربی فرانس کے بادشاہ چارلس III اور مشہور وائکنگ حکمران رولو کے مابین سینٹ کلیئر سور ایپٹ کے معاہدے کے ذریعہ قائم کیا گیا تھا ، اور یہ سابقہ فرینک سلطنت نیوسٹریا میں واقع تھا۔	ڈچی آف نارمنڈی کی بنیاد کب رکھی گئی تھی؟	نورمنڈی کا پہلام کب شروع ہوا؟	نورمنڈی کس سال قائم کیا گیا تھا؟
uqa_valid	ڈچی آف نارمنڈی ، جو 911 میں ایک فیوڈم کے طور پر شروع ہوا ، مغربی فرانس کے <ans> بادشاہ چارلس III </ans> اور مشہور وائکنگ حکمران رولو کے مابین سینٹ کلیئر سور ایپٹ کے معاہدے کے ذریعہ قائم کیا گیا تھا ، اور یہ سابقہ فرینک بادشاہت نیوسٹریا میں واقع تھا۔	رولو نے سینٹ کلیئر سور ایپٹ کے معاہدے پر کس کے ساتھ دستخط کیے؟	سینٹ ہیلینا کے ساتھ ساتھ، کون سا علاقہ ایک مشہور رکن کے طور پر ایک ہی میں ایک معاہدے کے طور پر قائم کیا گیا تھا؟	سینٹ ہیلینا کے ساتھ مل کر، کون سا مشہور فرانسیسی بادشاہ نیو ہیون میں واقع ہے؟
uqa_valid	یہ علاقہ موجودہ اپر نارمنڈی کے شمالی حصے سے نیچے دریائے <ans> سین </ans> تک تھا ، لیکن ڈچی بالآخر سین سے باہر مغرب میں پھیل جائے گی۔	کون سا دریا اصل میں ڈچی کی حد بندی کرتا تھا	شمالی کیرولائنا میں شمالی کیرولائنا کی سب سے زیادہ امکان کیا تھی؟	یہ علاقہ کہاں سے شروع ہوا؟
uqa_valid	معاہدے نے رولو اور اس کے مردوں کو مزید وائکنگ حملے کے خلاف تحفظ کے بدلے میں دریا <ans> ایپٹ </ans> اور بحر اوقیانوس کے ساحل کے درمیان فرانسیسی زمینیں پیش کیں۔	کون سا دریا اصل میں ڈچی کی حد بندی کرتا تھا	کس معاہدے نے فرانسیسی اور فرانسیسی حملے کے خلاف فرانسیسیوں کو متحد کرنے کے لئے فرانسیسی معاہدے پر حملہ کیا؟	سینٹ بارٹس کے ساحل پر کس نے حملہ کیا؟
uqa_valid	<ans> رولو </ans> کی آمد سے پہلے ، اس کی آبادی پکارڈی یا آئل ڈی فرانس سے مختلف نہیں تھی ، جسے فرینک سمجھا جاتا تھا۔	پہنچنے پر کس نے اصل وائکنگ آباد کاروں کو ایک مشترکہ شناخت دی؟	اس کی آمد سے پہلے، فرانس کی کون سی ڈی وی ڈی فرانس سے مختلف تھی؟	اس کی آمد سے پہلے، فرانس کی کون سی ڈی وی ڈی فرانس سے مختلف تھی؟
uqa_valid	زیادہ تر نارمن شورویروں کو غریب اور زمین کی بھوک لگی رہی ، اور 1066 تک نارمنڈی ایک نسل سے زیادہ عرصے سے <ans> لڑنے والے گھوڑوں </ans> کی برآمد کر رہا تھا۔	نارمن کی اہم برآمدات میں سے ایک کیا تھا؟	10.2 تک، ایک دوسرے کے مالک نے 10.5 تک کیا کیا؟	1080 تک زیادہ تر مقامی لوگوں کو کس چیز کی برآمد کر رہا تھا؟
uqa_valid	نارمنوں کے اٹلی میں داخل ہونے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، پیچنیگس ، بلغاروں اور خاص طور پر <ans> سلجک ترکوں </ans> کے خلاف لڑے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	بازنطینیوں کے خاتمے کے بعد، بازنطینیوں نے کس کے خلاف لڑا؟	بازنطینیوں کے خاتمے کے بعد بازنطینیوں نے کس کے خلاف لڑا؟
uqa_valid	نارمنز نے اٹلی میں داخل ہونا شروع کرنے کے فورا بعد ، وہ بازنطینی سلطنت اور پھر آرمینیا میں داخل ہوئے ، <ans> پیچنیگس ، بلغارین ، اور خاص طور پر سلجک ترکوں </ans> کے خلاف لڑتے ہوئے۔	اٹلی میں نارمنز کا بنیادی دشمن کون تھا، بازنطینی سلطنت اور آرمینیا؟	نارمنز نے کس بازنطینی خلاف لڑا؟	نارمنز نے کس کے خلاف لڑنا شروع کیا؟
uqa_valid	بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک <ans> 1050 کی دہائی </ans> میں ہروی تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	بازنطینیوں کی پہلی بڑی تعداد کب تھی؟	بازنطینیوں کی پہلی بڑی تعداد کب رکھی گئی تھی؟
uqa_valid	بازنطینی جنرل کی حیثیت سے خدمات انجام دینے والے پہلے نارمن مزدوروں میں سے ایک ہروی <ans> 1050 کی دہائی میں </ans> تھا۔	ہروی نے کب بازنطینی جنرل کی حیثیت سے خدمات انجام دیں؟	بازنطینی جنرل کی پہلی بڑی حد کیا تھی؟	بازنطینی جنرل کی تاریخ کب رکھی گئی تھی؟
uqa_valid	<ans> 1060 کی دہائی </ans> میں ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	رابرٹس نے کب خلاف بغاوت کی قیادت کی؟	رابرٹ خلاف ورزی کب ہوئی؟
uqa_valid	<ans> 1060 کی دہائی میں </ans> ، رابرٹ کرسپین نے ترکوں کے خلاف ایڈیسا کے نارمنز کی قیادت کی۔	جب رابرٹ Crispin ترکوں کے خلاف چلا گیا؟	رابرٹس نے بغاوت کے خلاف بغاوت کب کی؟	رابرٹ خلاف ورزی کے خلاف بغاوت کب ہوئی؟
uqa_valid	روسل ڈی بیلول نے یہاں تک کہ مقامی آبادی کی حمایت سے ایشیاء مائنر میں ایک آزاد ریاست بنانے کی کوشش کی ، لیکن اسے بازنطینی جنرل <ans> الیکسیس کومنیوس </ans> نے روک دیا۔	کون ایک آزاد ریاست کے لئے Roussel ڈی Bailleul کے منصوبوں کو برباد کر دیا؟	جنرل بازنطینی جنرل کو جنرل کرنے کے لئے بازنطینی جنرل جنرل کون تھا؟	بازنطینی جنرل جنرل کو کس نے روکا؟
uqa_valid	انہوں نے یہاں تک کہ اپنے قلعے کے نام کو اپنی نسلیت دی: <ans> افرانجی </ans> ، جس کا مطلب فرینکس ہے۔	نارمن قلعے کا نام کیا تھا؟	فین مین کا نام کیا تھا جس نے اپنے نام کو اپنے نام سے پکارس قرار دیا تھا؟	اس کا نام کیا تھا جس نے اپنے نام کو اپنے نام کا نام دیا تھا؟
uqa_valid	<ans> اورسل </ans> نامی ایک نارمن نے شمالی شام میں اوپری فرات کی وادی میں فرینکس کی ایک فورس کی قیادت کی۔	فرینکس جب فرات کی وادی میں داخل ہوئے تو ان کا رہنما کون تھا؟	شمالی کیرولائنا میں کون سی مشہور فرائیوں کی قیادت کی گئی تھی؟	شمالی کیرولائنا میں فرسات کی وادی کی قیادت کس نے کی؟
uqa_valid	کچھ نارمنوں نے <ans> ترکی کی افواج </ans> میں شمولیت اختیار کی تاکہ دور مشرقی اناطولیہ میں آرمینیائی وابستہ ریاستوں ساسون اور تارون کی تباہی میں مدد کی جاسکے۔	نارمنز نے اناطولیہ میں کس کے ساتھ تعاون کیا؟	کچھ سلاووں نے کس علاقے میں شمولیت اختیار کی؟	کچھ سلاووں نے کس علاقے میں شمولیت اختیار کی؟
uqa_valid	بازنطینی یونان کے کئی خاندان کمینیئن بحالی کی مدت کے دوران <ans> نارمن مزدور </ans> نژاد تھے ، جب بازنطینی شہنشاہ مغربی یورپی جنگجوؤں کی تلاش کر رہے تھے۔	Raouliii خاندان کی ابتداء کیا تھی؟	بازنطینی یونان کے دور میں یونان کی کون سی شاخ کی تحریک کی بحالی تھی؟	بازنطینی یونان کی بحالی کی مدت کے دوران بازنطینیوں کے ساتھ کیا ہوا؟
uqa_valid	راولی <ans> راول نامی ایک اطالوی-نورمن </ans> سے descended تھے ، پیٹرلیفی ایک پیئر ڈی اولپس سے descended تھے ، اور البانیائی قبائل کا وہ گروپ جسے منیکیٹس کے نام سے جانا جاتا ہے وہ نارمنوں سے descended تھے جنہوں نے 1038 کی سسلی مہم میں جارج منیاسس کے تحت خدمات انجام دیں۔	Raouliii خاندان کی ابتداء کیا تھی؟	راولی کس قبیلے سے بھاگ گیا؟	راولی کس قبیلے سے بھاگ گئے تھے؟
uqa_valid	راولی <ans> راول نامی ایک اطالوی-نارمن سے تعلق رکھتے تھے </ans> ، پیٹرلیفی ایک پیئر ڈی اولپس سے تعلق رکھتے تھے ، اور البانیائی قبائل کا وہ گروپ جسے منیکیٹس کے نام سے جانا جاتا ہے وہ نارمنوں سے تعلق رکھتا تھا جنہوں نے 1038 کی سسلی مہم میں جارج منیاسس کے تحت خدمات انجام دیں۔	Raouliii خاندان کی ابتداء کیا تھی؟	راولیرا کا نام کیا تھا؟	راولیرا کا باپ کون تھا؟
uqa_valid	<ans> رابرٹ گسکارڈ </ans> ، ایک اور نارمن مہم جوئی جو پہلے اپنی فوجی کامیابیوں کے نتیجے میں اپولیا کے کاؤنٹ کی وقار کو بلند کیا گیا تھا ، نے بالآخر بازنطینیوں کو جنوبی اٹلی سے باہر نکال دیا۔	Apulia کے کاؤنٹ کا نام کیا تھا	کون سا مشہور فوجی مہم جو قلعے کے ساتھ واقع تھا؟	کون سا فوجی مہم جو 200 مہم کے بعد اٹلی کو جنوبی اٹلی سے باہر نکال دیا گیا تھا؟
uqa_valid	شہر کی گارنیشن نے فروری <ans> 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنز کے حوالے کردیا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال میں نیو ہیون نے نیو یارک شہر میں ایک بغاوت کی؟	کس سال نیو یارک شہر نے نیو ہیون کو ایک بار پھر مارا؟
uqa_valid	شہر کی گارنیشن نے <ans> فروری 1082 </ans> تک مزاحمت کی ، جب وہاں آباد وینس اور املفیٹن تاجروں نے ڈیرراچیم کو نارمنوں کے ساتھ دھوکہ دیا تھا۔	Dyrrachium نارمنوں کو کب گر گیا؟	کس سال تک نیو ہیون نے نیو یارک کو ایک بار پھر جہاز کے ساتھ جوڑ دیا؟	کس سال تک نیو ہیون نے نیو ہیون میں والنسیا کی مخالفت کی؟
uqa_valid	کروشیا اور ڈلمیٹیا کے کیتھولک شہروں کے ساتھ اتحاد کرنے کے بعد ، 1081 میں اس نے 300 بحری جہازوں میں <ans> 30،000 </ans> مردوں کی ایک فوج کی قیادت کی جو البانیہ کے جنوبی ساحل پر اتری ، والونا ، کینینا ، یریحو (اوریکومی) پر قبضہ کرلی ، اور متعدد لوٹ مار کے بعد بٹرنٹ پہنچی۔	رابرٹ کی فوج میں کتنے آدمی تھے؟	10 نومبر 2008 میں کتنے آدمی تھے؟	الزبتھ نے کتنے بحری جہازوں کی قیادت کی؟
uqa_valid	دریں اثنا ، انہوں نے پیٹرا ، دریا <ans> ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	نارمنز اور بازنطینیوں نے امن معاہدے پر کہاں دستخط کیے؟	اپاا کس دریا کے کنارے واقع تھا؟	اُکھا دریا کس دریا کے کنارے واقع تھا؟
uqa_valid	پہلی صلیبی جنگ کے چند سال بعد ، 1107 میں ، رابرٹ کے بیٹے <ans> بوہیمنڈ </ans> کی کمانڈ میں نارمنز والونا میں اتریں اور اس وقت کے سب سے نفیس فوجی سازوسامان کا استعمال کرتے ہوئے ڈیرراچیم کا محاصرہ کیا ، لیکن اس سے کوئی فائدہ نہیں ہوا۔	رابرٹ کا بیٹا کون تھا؟	پہلی جنگ عظیم کے بعد کون سا گروپ سب سے پہلے استعمال کیا گیا تھا؟	پہلی جنگ عظیم کے بعد کس نے کمانڈ کی؟
uqa_valid	دریں اثنا ، انہوں نے پیٹرا ، دریا <ans> ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	پیٹریلا کس دریا کے کنارے واقع تھا؟	اپاا کس دریا کے کنارے واقع تھا؟	اُکھا دریا کس دریا کے کنارے واقع تھا؟
uqa_valid	دریں اثنا ، انہوں نے پیٹریلا ، <ans> دریائے ڈیابولس </ans> کے کنارے ملی کے قلعے ، گلاوینیکا (بالش) ، کینینا اور یریحو پر قبضہ کرلیا۔	پیٹریلا کس دریا کے کنارے واقع تھا؟	احا کس قبیلے سے کنارے تھا؟	قاطا کس دریا کے کنارے واقع تھا؟
uqa_valid	بازنطینی ریاست کے مزید زوال نے <ans> 1185 </ans> میں تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے ڈیرراچیم پر حملہ کیا۔	نارمنز نے ڈیرراچیم پر کب حملہ کیا؟	بازنطینیوں نے کس سال حملے کی قیادت کی؟	بازنطینیوں کی بنیاد کب رکھی گئی تھی؟
uqa_valid	بازنطینی ریاست کے مزید زوال نے <ans> 1185 میں </ans> تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے ڈیرراچیم پر حملہ کیا۔	نارمنز نے ڈیرراچیم پر کب حملہ کیا؟	بازنطینی حملے کے حملے کے دوران بازنطینی حملے کی وجہ کیا تھی؟	بازنطینیوں کے زوال نے کس سال حملے پر حملہ کیا؟
uqa_valid	بازنطینی ریاست کے مزید زوال نے 1185 میں تیسرے حملے کی راہ ہموار کی ، جب ایک بڑی نارمن فوج نے اعلی بازنطینی عہدیداروں کے غداری کی وجہ سے <ans> ڈیرریچیم </ans> پر حملہ کیا۔	بحری اڈے کو کیا کہا جاتا تھا؟	بازنطینی فوج نے کس بازنطینی حملہ پر حملہ کیا؟	بازنطینیوں نے کس پر حملہ کیا؟
uqa_valid	کچھ وقت بعد ، <ans> ایڈریٹک </ans> کے سب سے اہم بحری اڈوں میں سے ایک ، ڈراچیم دوبارہ بازنطینی ہاتھوں میں آگیا۔	Dyrrachium کہاں واقع تھا؟	باپیم بازنطینی فن میں کس اہم رہنما کے اہم مقام پر آگ لگانے کا سبب بن گیا؟	باچیم بازنطینی سلطنت میں سب سے اہم بحری جہاز کون سا تھا؟
uqa_valid	اس تعلقات نے بالآخر نارمنڈی کے ڈیوک رچرڈ دوم کی بہن ایما اور انگلینڈ کے <ans> کنگ ایتھلریڈ دوم </ans> کی شادی کے ذریعے خون کے قریبی تعلقات پیدا کیے۔	ایما نے کس سے شادی کی؟	جان دوم کی بہن کون تھی؟	جان کے بہن بھائی کا نام کیا تھا؟
uqa_valid	اس تعلقات نے بالآخر ڈیوک رچرڈ دوم آف نارمنڈی کی بہن ایما اور انگلینڈ کے بادشاہ <ans> ایتھلریڈ دوم </ans> کی شادی کے ذریعے خون کے قریبی تعلقات پیدا کیے۔	ایما نے کس سے شادی کی؟	ڈیوک آف انگلینڈ کا بادشاہ کون تھا؟	ڈیوک آف انگلینڈ کا بادشاہ کون تھا؟
uqa_valid	اس تعلقات نے بالآخر نارمنڈی کے <ans> ڈوک رچرڈ دوم </ans> کی بہن ایما اور انگلینڈ کے بادشاہ ایتھلریڈ دوم کی شادی کے ذریعے خون کے قریبی تعلقات پیدا کیے۔	ایما کا بھائی کون تھا؟	بہن ایمولیتھ اور شادی کے مابین تعلقات کا رشتہ کس نے پیدا کیا؟	بہن کے بہن بھائی کا نام کیا تھا؟
uqa_valid	اس کی وجہ سے ، ایتھلریڈ 1013 میں <ans> نارمنڈی </ans> بھاگ گیا ، جب اسے سوین فورک بیئرڈ نے اپنی بادشاہی سے مجبور کردیا تھا۔	Ethelred کہاں بھاگ گیا؟	ایتھل 10ل 10ل 10 میں 109ل 10 میں کس دن بھاگ گیا؟	ایتھل 10ل نے 109ل 1013 میں کس کو شکست دی؟
uqa_valid	اس کی وجہ سے ، ایتھلریڈ 1013 میں نارمنڈی بھاگ گیا ، جب اسے <ans> سوینبی فورکارڈ </ans> نے اپنی بادشاہی سے مجبور کردیا تھا۔	کون Ethelred باہر لات مار دی؟	ایتھل 10 10 10 10 10or کی 10th کی وجہ سے کس نے اپنی حکمرانی کی؟	ایتھل 10 10 10 109 میں کس کی بادشاہی تھی؟
uqa_valid	آخر کار جب ایڈورڈ کنفیسر اپنے سوتیلے بھائی <ans> ہارٹاکنوٹ </ans> کی دعوت پر 1041 میں اپنے والد کی پناہ گاہ سے واپس آیا تو اس نے اپنے ساتھ ایک نارمن تعلیم یافتہ ذہن لایا۔	ایڈورڈ Confessor کے سوتیلے بھائی کون تھا؟	ایڈورڈ کنفیسر کا سوتی بھائی کون تھا؟	ایڈورڈ کنفیسر کا بھائی کون تھا؟
uqa_valid	آخر کار جب ایڈورڈ کنفیسر اپنے سوتیلے بھائی ہارٹاکنوٹ کی دعوت پر <ans> 1041 </ans> میں اپنے والد کی پناہ گاہ سے واپس آیا تو اس نے اپنے ساتھ ایک نارمن تعلیم یافتہ ذہن لایا۔	ایڈورڈ کب واپس آیا؟	ایڈورڈ Shulachta کی موت کی جب اس کی اپنی بیوی اپنے عہدے پر واپس آ گیا؟	کس سال میں والد نے اپنے والد کی حیثیت سے واپس لے لیا؟
uqa_valid	آخر کار جب ایڈورڈ کنفیسر اپنے سوتیلے بھائی ہارٹاکنوٹ کی دعوت پر <ans> 1041 میں </ans> اپنے والد کی پناہ گاہ سے واپس آیا تو اس نے اپنے ساتھ ایک نارمن تعلیم یافتہ ذہن لایا۔	ایڈورڈ کب واپس آیا؟	ایڈورڈ Sighuaki کی موت کی جب اس کی اپنی بیوی اپنے عہدے پر واپس آ گیا؟	ایڈورڈ Sighukiza کی موت کے لئے اپنے والد کی حیثیت سے کب واپس آئے؟
uqa_valid	اس نے <ans> رابرٹ آف جمیجیس </ans> کو کینٹربری کا آرک بشپ مقرر کیا اور رالف دی ٹمڈ ارل آف ہیرفورڈ بنا دیا۔	ایڈورڈ نے کس کو کینٹربری کا آرچ بشپ بنایا؟	کون سا جنرل آرکمپک اور آرفائر آف دیر آف دیر نے خدمات انجام دیا؟	بیونسے کا پہلا بشپ کون مقرر کیا گیا تھا؟
uqa_valid	1066 میں ، ڈیوک ولیم دوم آف نارمنڈی نے انگلینڈ کو فتح کیا اور <ans> ہیسٹنگس کی لڑائی </ans> میں بادشاہ ہیرولڈ دوم کو مار ڈالا۔	ہیرالڈ دوم کہاں مر گیا؟	بادشاہ دوم دوم دوم کو بادشاہ کے ساتھ جنگ میں کس بادشاہ نے مارا؟	بادشاہ فلپ دوم دوم کو کس جنگ میں مارا گیا تھا؟
uqa_valid	1066 میں ، ڈیوک ولیم دوم آف نارمنڈی نے انگلینڈ پر فتح حاصل کی اور <ans> ہیسٹنگس کی لڑائی </ans> میں بادشاہ ہیرالڈ دوم کو مار ڈالا۔	ہیرالڈ دوم کہاں مر گیا؟	بادشاہ دوم دوم نے انگلینڈ پر فتح حاصل کرنے کے بعد انگلینڈ دوم کو کس جنگ میں مارا؟	بادشاہ دوم دوم نے تخت پر فتح حاصل کرنے کی کوشش کی؟
uqa_valid	1066 میں ، ڈیوک ولیم دوم آف نارمنڈی نے انگلینڈ پر فتح حاصل کی اور بادشاہ ہیرالڈ دوم کو <ans> ہیسٹنگس کی لڑائی میں </ans> مار ڈالا۔	ہیرالڈ دوم کہاں مر گیا؟	دوم نے دوم اور دوم بادشاہ کو کس طرح مارا؟	دوم نے دوم اور دوم بادشاہ کو کس جنگ میں مارا؟
uqa_valid	1066 میں ، نورمنڈی کے ڈیوک <ans> ولیم دوم </ans> نے ہیسٹنگس کی لڑائی میں بادشاہ ہیرالڈ دوم کو مار کر انگلینڈ پر فتح حاصل کی۔	ہیرالڈ دوم کو کس نے مارا؟	کون سا بادشاہ نورڈک کی لڑائی میں بادشاہ کی فتح پر فتح کر رہا تھا؟	کس بادشاہ نے ہیسٹنگس دوم کو تخت پر فتح حاصل کی؟
uqa_valid	1066 میں ، نارمنڈی کے <ans> ڈوک ولیم دوم </ans> نے ہیسٹنگس کی لڑائی میں بادشاہ ہیرالڈ دوم کو مار کر انگلینڈ پر فتح حاصل کی۔	ہیرالڈ دوم کو کس نے مارا؟	ہیسٹ کی لڑائی میں بادشاہ کو کس نے فتح کیا؟	کس بادشاہ نے ہیسٹنگس دوم کو تخت پر فتح حاصل کی؟
uqa_valid	<ans> 1066 میں </ans> ، نورمنڈی کے ڈیوک ولیم دوم نے ہیسٹنگس کی لڑائی میں بادشاہ ہیرالڈ دوم کو مار کر انگلینڈ پر فتح حاصل کی۔	ہیسٹنگس کی جنگ کب ہوئی تھی؟	کس سال نور دوم نے بادشاہ کی دوم کو فتح حاصل کی؟	کس سال نورمنڈ دوم نے دوم پر فتح حاصل کی؟
uqa_valid	حملہ آور نارمنز اور ان کی اولاد نے انگلینڈ کے حکمران طبقے کے طور پر <ans> اینگلو سیکسنز </ans> کی جگہ لے لی۔	نارمنوں سے پہلے حکمران طبقہ کون تھا؟	حملہ آوروں کی انگلینڈ کے بعد انگلینڈ کی کون سی جگہ لے لی گئی؟	حملہ آوروں نے انگلینڈ کے حکمران کے طور پر کس جگہ کی جگہ لے لی؟
uqa_valid	اس کے نتیجے میں یہ <ans> جدید انگریزی </ans> میں تیار ہوا۔	اینگلو نارمن زبان کی آخری شکل کیا تھی؟	جدید انگریزی میں کس زبان میں تیار ہوا؟	انگریزی زبان کے نتیجے میں کس زبان میں تیار ہوا؟
